Date, Open , High , Low , Last ,Ask High,Bid Low
30-09-13,1.2555,1.2581,1.2534,1.2552,1.2587,1.2534
01-10-13,1.2553,1.2564,1.2501,1.2513,1.2569,1.2501
02-10-13,1.2514,1.2542,1.2478,1.248,1.2547,1.2478
03-10-13,1.248,1.2502,1.246,1.2486,1.2509,1.246
04-10-13,1.2489,1.249,1.2448,1.2464,1.2499,1.2448
07-10-13,1.2466,1.2494,1.2455,1.2471,1.25,1.2455
08-10-13,1.2471,1.2507,1.2465,1.2492,1.2514,1.2465
09-10-13,1.2491,1.2524,1.2479,1.2492,1.253,1.2479
10-10-13,1.2494,1.254,1.2468,1.248,1.2547,1.2468
11-10-13,1.2476,1.2496,1.2444,1.2456,1.2503,1.2444
14-10-13,1.2446,1.2472,1.2426,1.2433,1.2479,1.2426
15-10-13,1.2431,1.244,1.2402,1.2429,1.245,1.2402
16-10-13,1.2435,1.2464,1.2407,1.243,1.2471,1.2407
17-10-13,1.2428,1.2445,1.2384,1.2394,1.245,1.2384
18-10-13,1.239,1.2406,1.2363,1.2388,1.2414,1.2363
21-10-13,1.2383,1.242,1.2374,1.2414,1.2426,1.2374
22-10-13,1.2409,1.2433,1.2345,1.2357,1.244,1.2345
23-10-13,1.2349,1.2406,1.2336,1.2385,1.2412,1.2336
24-10-13,1.2386,1.2397,1.2356,1.237,1.2405,1.2356
25-10-13,1.237,1.2384,1.2348,1.2356,1.239,1.2348
28-10-13,1.2353,1.2388,1.2346,1.2367,1.2394,1.2346
29-10-13,1.2371,1.2416,1.2364,1.2409,1.2423,1.2364
30-10-13,1.2407,1.2426,1.2351,1.239,1.2433,1.2351
31-10-13,1.2393,1.2424,1.2374,1.2414,1.2429,1.2374
01-11-13,1.2415,1.2443,1.2402,1.242,1.2449,1.2402
04-11-13,1.2431,1.2444,1.241,1.2423,1.245,1.241
05-11-13,1.2421,1.2446,1.2401,1.2421,1.2451,1.2401
06-11-13,1.2418,1.2454,1.2406,1.2427,1.246,1.2406
07-11-13,1.2421,1.247,1.2406,1.2451,1.2476,1.2406
08-11-13,1.2446,1.2484,1.2409,1.2468,1.2489,1.2409
11-11-13,1.2468,1.2502,1.2456,1.2482,1.2508,1.2456
12-11-13,1.2483,1.2518,1.2469,1.2498,1.2523,1.2469
13-11-13,1.2492,1.2498,1.2454,1.246,1.2505,1.2454
14-11-13,1.2466,1.2489,1.2438,1.2471,1.2495,1.2438
15-11-13,1.247,1.2495,1.2445,1.2464,1.2502,1.2445
18-11-13,1.2446,1.2474,1.2443,1.2459,1.248,1.2443
19-11-13,1.2456,1.2469,1.242,1.2431,1.2475,1.242
20-11-13,1.243,1.2477,1.242,1.2462,1.2482,1.242
21-11-13,1.2462,1.2515,1.2457,1.2498,1.2521,1.2457
22-11-13,1.2494,1.2527,1.2485,1.2495,1.2532,1.2485
25-11-13,1.2499,1.2537,1.2479,1.25,1.2542,1.2479
26-11-13,1.2498,1.2547,1.2486,1.2514,1.2552,1.2486
27-11-13,1.251,1.2567,1.2503,1.2546,1.2573,1.2503
28-11-13,1.2546,1.2564,1.2533,1.2552,1.2571,1.2533
29-11-13,1.2551,1.2566,1.253,1.2545,1.2572,1.253
02-12-13,1.255,1.2566,1.2517,1.256,1.2572,1.2517
03-12-13,1.256,1.257,1.2511,1.2524,1.2576,1.2511
04-12-13,1.2521,1.256,1.2517,1.2544,1.2567,1.2517
05-12-13,1.2544,1.2556,1.2518,1.2532,1.2564,1.2518
06-12-13,1.2528,1.2559,1.2486,1.2491,1.2566,1.2486
09-12-13,1.2485,1.2522,1.248,1.249,1.2528,1.248
10-12-13,1.2485,1.2513,1.2465,1.2486,1.252,1.2465
11-12-13,1.2481,1.2526,1.2475,1.2512,1.2531,1.2475
12-12-13,1.2512,1.2564,1.2507,1.2554,1.257,1.2507
13-12-13,1.2554,1.2582,1.254,1.2547,1.2587,1.254
16-12-13,1.255,1.2571,1.2538,1.2547,1.2576,1.2538
17-12-13,1.2545,1.2593,1.254,1.2571,1.2599,1.254
18-12-13,1.2571,1.2615,1.2555,1.2613,1.2621,1.2555
19-12-13,1.261,1.2678,1.2599,1.2658,1.2684,1.2599
20-12-13,1.2659,1.2683,1.2646,1.2659,1.2688,1.2646
23-12-13,1.266,1.2685,1.2643,1.267,1.2691,1.2643
24-12-13,1.2669,1.2688,1.2653,1.2677,1.2696,1.2653
25-12-13,1.2671,1.2684,1.2663,1.2667,1.2691,1.2663
26-12-13,1.267,1.2695,1.2663,1.2686,1.2699,1.2663
27-12-13,1.2686,1.2695,1.2653,1.2684,1.2701,1.2653
30-12-13,1.2678,1.2697,1.2663,1.2671,1.2704,1.2663
31-12-13,1.2671,1.2676,1.261,1.263,1.2685,1.261
01-01-14,1.2624,1.2638,1.2616,1.2627,1.2649,1.2616
02-01-14,1.2627,1.2691,1.262,1.2672,1.2697,1.262
03-01-14,1.2666,1.2688,1.2638,1.267,1.2694,1.2638
06-01-14,1.2667,1.2697,1.2657,1.2677,1.2703,1.2657
07-01-14,1.2673,1.2719,1.2668,1.271,1.2725,1.2668
08-01-14,1.2705,1.2737,1.2687,1.273,1.2744,1.2687
09-01-14,1.2733,1.2738,1.2697,1.2704,1.2744,1.2697
10-01-14,1.2704,1.2716,1.2627,1.2635,1.2723,1.2627
13-01-14,1.263,1.2659,1.2625,1.2646,1.2665,1.2625
14-01-14,1.264,1.2695,1.264,1.269,1.2701,1.264
15-01-14,1.2687,1.2737,1.2678,1.2726,1.2742,1.2678
16-01-14,1.2726,1.2751,1.2706,1.2713,1.2757,1.2706
17-01-14,1.2709,1.2762,1.2702,1.276,1.2769,1.2702
20-01-14,1.2746,1.2772,1.274,1.2762,1.2778,1.274
21-01-14,1.2759,1.2803,1.2747,1.278,1.2809,1.2747
22-01-14,1.2784,1.2797,1.2765,1.2788,1.2802,1.2765
23-01-14,1.2785,1.283,1.2758,1.2782,1.2835,1.2758
24-01-14,1.2777,1.282,1.2771,1.2785,1.2826,1.2771
27-01-14,1.2785,1.2798,1.2745,1.2763,1.2807,1.2745
